id,pred_content_id,true_content_id
t_0012a45fa09c,c_403aee25ce99 c_b30bb3d1819b c_dde078b8ea7a c_9f3d335f2bf7 c_7d100b5c2493 c_50a52268f3a4 c_61d05477693d c_c4b62af917bc c_4dab935c469d c_e4ef15e65e04,c_dde078b8ea7a
t_0014be0167f3,c_5183486b4c6d c_ceeb9ae0396c c_5ab10d694931 c_2ae5bd6b746a c_370dec1b1ed5 c_eedeae6204cf c_63ce8999e98a c_1fd798ae3760 c_c4a93c506b0d c_647a46f1ff2f,c_2ae5bd6b746a c_370dec1b1ed5 c_5183486b4c6d c_e0ff9325b96d
t_0014d6945f7e,c_e50e1505b72c c_ba2a66caac8d c_689c316b71c7 c_ab970a82d161 c_1ca6079deb47 c_5d356622f116 c_c8b3746c2f75 c_564261de9dfd c_9c9afb457a08 c_4cc53770450f,c_e1f4e63aa1c3 c_e50e1505b72c
t_001558da4876,c_b3a72a777f64 c_24df142b0b02 c_4641d83cc7cb c_1fff7832f54f c_4491e8eaf405 c_a89122c50b43 c_df0f1255d00d c_d5dacf1a1bc8 c_a6eaa6f7bc54 c_915c33a9478e,c_108194db1545 c_363301ab3248 c_37e49b7105bc c_3b5012ded524 c_5994c19d9886 c_6c705d640953 c_7218c7311096 c_789f32849913 c_8ca60b8cab0e c_9768f1694257 c_9d9dfcfb1f0b c_9def13978f73 c_a6eaa6f7bc54 c_a89122c50b43 c_ddb033509ce4 c_e6e61c6f9a76 c_ece806c47a4a c_f9c512879cd4 c_fdb1901c02d7
t_0016d30772f3,c_31fbfa64faa8 c_d59e0f06425a c_242ddc729eec c_5497e12e484f c_b4fa764f5218 c_e72cbf36b600 c_a0b3154eb3fd c_061d9f90bb06 c_0b33cc69e8c3 c_ea312de91d4f,c_061d9f90bb06 c_242ddc729eec c_61b851222e17 c_c25053d6fafd c_ea312de91d4f
t_0016fa92caf4,c_e1d73acfff8e c_27c6b4733ef7 c_ae42de6a8eda c_bcae066039fa c_a258580a87a5 c_84495f8ede33 c_fc8f893be1e3 c_18f4034321f4 c_74e704264394 c_c2c334534a57,c_e1d73acfff8e
t_001a1575f24a,c_433f60c8c551 c_a59c498a65ef c_854899df0aed c_80039825d139 c_9d6d6437d72b c_ca39564e6b8d c_26e0b5123e54 c_da7e5553b913 c_c1dfad9e6d47 c_aac6c52f654e,c_433f60c8c551
t_001bc7125ae7,c_695b935241f7 c_3d175dcf59f0 c_5d5a415f28ae c_3f616bd41eb2 c_fade60d3f326 c_d1ee2560542b c_33ef8d817ee6 c_63fd2e0a9e5f c_ceb1db13608d c_94660bcd516e,c_057d90d1045b c_0a578d1828d0 c_0f6a7aa3e787 c_19729272e4b5 c_2db69548f527 c_2f59f71647ce c_3ae0a9b1955c c_3d175dcf59f0 c_3f616bd41eb2 c_4f20ba44ca36 c_5d5a415f28ae c_74e60d8a139f c_77d81f36c080 c_7a92dbf2d288 c_7cf9f10452e7 c_88b76c2846ea c_8ba51704cb24 c_981c4ad29dd2 c_9a387320116d c_a7ff767097aa c_b355c939de9a c_b6b859da8894 c_b77b0d82db78 c_c6cfe5d95036 c_dc43ac10abcf c_df40396de6d2 c_f40bb1a879c7 c_f869fec5b142
t_001bcbb22694,c_4a8cfb2cd8ed c_52c8fdad09b2 c_5fffed853c29 c_60fd6984d5d9 c_6833b9a7dce3 c_bddefc807651 c_c221ddb9879f c_f44edf0daffd c_f5a0007d78db c_fc93a5a23a3f,c_1d9dfc709413
t_001bd01717d7,c_36eae593b5b9 c_7a756cef0738 c_82842d5f126e c_1b2d08b1f43b c_9056f45fc5b9 c_b72e2f1f4031 c_c72216e89cc6 c_394c38fd191e c_03d791e513fc c_18aa6ba631e5,c_16f1cff519b3 c_289a31069ea7 c_6f0a3cf19895 c_70b6f760bad5 c_bfd4bb44a329 c_c6941dfa5dfc
t_001bd0fea51b,c_fd8123e239f2 c_8fe1b0d24cb1 c_b0217c5c2966 c_9a4178717dc1 c_0efd26c85fa8 c_9c4e47d7c8c8 c_a67b801af2ab c_e877dbc72c99 c_b5dff496c5ed c_9b27a93c0afe,c_9c4e47d7c8c8 c_ffc73de4420c
t_001c75b83927,c_08c543bbad46 c_65770c4d184f c_6e6eb57ead3a c_7c026c41d565 c_9884d2692a86 c_af1a51aafc61 c_cf5c8ee071f0 c_d9ed471dfc62 c_dd6f147c0273 c_f7626470d9d8,c_60d8a4f8eff9
t_001d98bfb0c6,c_029055dfadef c_646aec2c73fd c_8cf33757b089 c_41af3136a008 c_bd6cb0b2064a c_b5c258b2a706 c_16d0fc700024 c_32091a74f8ef c_d648147522f5 c_522d6269fe95,c_029055dfadef c_bd6cb0b2064a
t_001edc523bd1,c_1dd7555c3ac3 c_d9b5f150007a c_6455deafa5fe c_888abd6a8c12 c_ad0f8bdece20 c_e30b5e8ff0a3 c_d7396a576c32 c_e7308e0ed3ca c_951347cb0b56 c_285b5b53e6ed,c_5298b652bdf8 c_68c33f74debf c_dce3269cf0e6 c_f3d956ce2a3b
t_0020bde404c1,c_8782b4b9dc1f c_b9c0916e309b c_1d31b1e148fb c_bfe5c50e3f5e c_c3cb9ff41dd0 c_4208cb7de32a c_290bb5712efd c_54c2b3abb262 c_6145c12ee83a c_1a899c692b83,c_9cf7f631f662
t_0021d8020514,c_08c543bbad46 c_65770c4d184f c_6e6eb57ead3a c_7c026c41d565 c_9884d2692a86 c_af1a51aafc61 c_cf5c8ee071f0 c_d9ed471dfc62 c_dd6f147c0273 c_f7626470d9d8,c_e7e44cb2c32d
t_002336d97c88,c_7da4b938da28 c_83302261eae1 c_79403d2ecb3a c_4db70382060c c_d8e8be5f342a c_65776a033413 c_9e0170394afb c_d01c77b6a6dd c_b3aa4e0bd820 c_fda4ceafd11f,c_34706cc668ec c_65776a033413 c_7da4b938da28 c_962fc66266bd
t_0024d6e12b7e,c_6d02febf9ec1 c_fb20333f74bb c_86c1e64adab3 c_847c03bd5340 c_09547d755482 c_234b5b7e8dc0 c_8e19d08a1653 c_2b388e98b378 c_75890f17e822 c_c38ae8d70508,c_6d02febf9ec1 c_b15eb4f447f6
t_00253e2bc084,c_85f418d577e5 c_abd8a9430cf4 c_e630f8201f14 c_51b66147dab6 c_9a9105f3f9f9 c_88efb091d11f c_e89ac1170448 c_8ae463e6e7be c_757a8dc380bb c_39025a23cc50,c_04a2f6da13c5 c_50194cccd144 c_a68d5231e520 c_aa389f4c5fb4 c_abd8a9430cf4 c_dcf3cb6b47d0 c_f72a112c90b4
t_00260f878951,c_c643a8852a50 c_4ff8a7b37cdc c_491047a4a4da c_e72e3f1741b6 c_c3e7eef07cd5 c_2a306a47f525 c_94e644126276 c_86e17c92cd46 c_e96c40959f39 c_e8083500af45,c_86f126d7f1f8
t_00269d6e7e45,c_e7f02742d5a2 c_dea853732b6b c_d71852da48c3 c_dcfe12aea9f3 c_b8c2dba5f1d2 c_18082c951e92 c_7cb6105e0d9d c_da765bc6075e c_b39333b1c96a c_14410acc816a,c_0f3b5583b778 c_ab080195c667 c_c525e71492af c_c8fcf05a92c0 c_f701a1046727
t_0028be2658cd,c_bd0f762a61c3 c_172f50f1d187 c_c83e07d9a706 c_2aebd2fbe3f8 c_c0fef8b3e98c c_10a3de179be2 c_d0dd13b8f2cc c_962040e0f56e c_1d9b3951fee1 c_39fcbe4718ed,c_172f50f1d187 c_1d9b3951fee1 c_623f1b7d4d4b c_69eb4007efed c_962040e0f56e c_bd0f762a61c3 c_c0fef8b3e98c c_d82680e9edaa
t_0028ead4dc26,c_e01965f1924d c_a4651c228714 c_99bcfa820257 c_01e269c23b79 c_992e79471bb0 c_0f039ac1c980 c_4f9a5f0825aa c_922b03efa60c c_0e3224749376 c_7a838ef49896,c_2a6869449f42 c_72d5e9f80f14 c_a4651c228714 c_e01965f1924d
t_002d0f889027,c_9d0692d63dc1 c_67f7716ca354 c_f3ba981ef32a c_0b8170e0596f c_4c9acc5e3a2b c_0cb23bb5a72c c_9258c80cb853 c_b3307537ae41 c_0f3546fbad12 c_359b76c58768,c_9d0692d63dc1 c_dbbd4863752f
t_002d1624e059,c_af05b751efdf c_1a7c59326265 c_62f4261b4edb c_e32ae7f608ec c_8dbd1aa20449 c_d022a655fa81 c_a62828ad452f c_8ecff4e06ce5 c_0593111b69a1 c_fcb2585bc640,c_af05b751efdf
t_002dfcaaf1d7,c_82bfa556195f c_58ea700fa917 c_246020b15ee9 c_165b3d1eb50f c_6f6a8eb8e488 c_bd678e2cced3 c_18e98d3f20d8 c_bd5d259deafb c_95f4ce96cf91 c_1c66cc7dad41,c_7c35d77064e5
t_002eec45174c,c_6062d2e46506 c_7971ba5f03c4 c_b44c206ad756 c_1344faea11c6 c_f3a9784f2a47 c_d2cf189bb4ac c_d9d18efa7dfc c_646821790154 c_8db12f32c4ea c_d32102fb335f,c_29633da013a9 c_3386a0af5cad c_4216ceb928c6 c_6062d2e46506 c_7971ba5f03c4 c_9338684fe527 c_b44c206ad756
t_002f3fc3c840,c_6ab5a7004aa5 c_9dccea11abe3 c_fb1893f5f276 c_1ad87867cef3 c_dfe71734f8b4 c_3b95d4f80e9a c_53e6770edae5 c_d1661d1070b3 c_e04ffe9a0728 c_fc78f08b9714,c_b72771ba12bf c_d1661d1070b3 c_e04ffe9a0728 c_e959e19ade27
t_002f563fc457,c_5d5788ebeb4b c_79fcd5e17b5c c_c08fd92b1569 c_0f7d0f19c789 c_8502c52b145f c_05d837ca6aec c_bc5be315a500 c_afba5d84f880 c_c783df56af2e c_a66e8e5b289c,c_05d837ca6aec c_0f7d0f19c789 c_5d5788ebeb4b c_79fcd5e17b5c c_a66e8e5b289c c_c08fd92b1569 c_c783df56af2e
t_002ff3ee9cb1,c_652d540000dd c_fa3db8ab45d8 c_2f3b6f64de9c c_4b5609e13ddb c_7418de03320b c_c4f8971833be c_d8782e5323e2 c_e0491e20e79f c_f87ca039ff13 c_778507183449,c_298e36886d42 c_46a66cc7de19 c_4c3c26770414 c_5d7a06b716fc c_7418de03320b c_820929b0e396 c_a21286042af8 c_c4f8971833be c_e0491e20e79f c_f87ca039ff13
t_00328b0a7ccd,c_9a324322bb7e c_4404aad7897a c_2ae028603ed4 c_e7330aed3bc2 c_54b2c9e5cf90 c_f06166572d4c c_d23238dc8e7b c_a4349b2b79f1 c_fa494bcb143f c_4e5e9c07a32e,c_9a324322bb7e
t_0032c51bd677,c_39cb5ce03ac3 c_edcc10be005d c_558a91090284 c_586287b232d8 c_da9654def838 c_bafa96bcd456 c_1f52a74f3cec c_55300bf0553e c_9a9d6d6f0787 c_ef950eda9e78,c_1f52a74f3cec c_39cb5ce03ac3 c_55300bf0553e c_586287b232d8 c_7502c7fe4247 c_9a9d6d6f0787 c_bafa96bcd456 c_c5726cd6e420 c_da9654def838 c_edcc10be005d c_ef950eda9e78
t_00332f7ec0db,c_2816e394380d c_cc2470bbc5f2 c_740e99398845 c_7a25ecd86a3d c_44b1540b8557 c_fd9aec36ae4e c_b2dc184a467c c_0755c4614d03 c_7ab15c86dce4 c_ece5e05c76a9,c_2816e394380d
t_00342d98cbde,c_39a0d3b7ce62 c_38d00ca626da c_b77a741ddd12 c_f99381a045a4 c_9982898816f1 c_cfb57e5f9fdb c_207b49228710 c_daf8c71485e3 c_22d1bf04aecb c_aaf89b2ad0e2,c_0c6497820b97 c_22d1bf04aecb c_39a0d3b7ce62 c_aaf89b2ad0e2 c_cfb57e5f9fdb c_d2ee4b5e77c2 c_daf8c71485e3 c_f99381a045a4
t_00343e5ddd67,c_013b5b97c427 c_1e6a25c62caa c_83b0910c8e12 c_a2fcb1c1280b c_5439d9f60577 c_89513b87d453 c_b735cb1419cf c_f1ba217b19d2 c_e1a2e17da6f6 c_f332c58968ca,c_ec1439eaf816
t_00365ac4da76,c_390bdedeb252 c_98dbd286cc63 c_a2297df3be86 c_0cc47e494539 c_b3ed3f808ce8 c_3972d429fc50 c_f09a2e4f6ae9 c_7567c45207dc c_ec9c64fb776c c_e618fc862289,c_7567c45207dc
t_003761386023,c_07d4534a2fc4 c_d233d7c8bd39 c_340b9bf23057 c_c1282d745c15 c_47fd674b0fa0 c_ca316228ef39 c_dc2e08be6fc7 c_439e552007f3 c_6adbb28b15c4 c_8f96ff66271f,c_07d4534a2fc4 c_340b9bf23057
t_00388edc1aff,c_b50e5e7c866c c_c21a014193b5 c_d95c204965eb c_62668da5f9af c_31606369dd6b c_002348655d17 c_7f84f40309f5 c_bd51f860756a c_53f11ece2509 c_eb09a7c104f0,c_b50e5e7c866c c_d95c204965eb
t_003964cfca42,c_82fff6f5f011 c_71c287dc841d c_6c2ae3ea7509 c_b93d10dd7971 c_2a7b2b02af33 c_1355f8d4b5e7 c_f0be756729c7 c_a26b6991b4f4 c_e2819e1f2bdc c_c5e17f48388c,c_82fff6f5f011 c_e7422d30f9de
t_003bb2871126,c_ec78b46e1cbe c_853c75c7ece6 c_598d65e92e7f c_619bfedc6067 c_0856f9a0a729 c_c1c0ad505b07 c_78cbe2216831 c_11900e14cda9 c_3b8e8b496212 c_4a5cb228ea18,c_900e086f821e c_ec78b46e1cbe
t_003c1782b8c2,c_4fa38f97cd23 c_968503c1e81d c_d35c5a037ac0 c_183d5462d80b c_3b1ff7a42f0d c_42a3b3a983f6 c_d3e0c780663d c_6ac1626fbf0e c_6330c364e01e c_e783e73d4fa7,c_4fa38f97cd23 c_5b82222a01f0 c_8aa8f246b0db c_968503c1e81d c_d3e0c780663d
t_003cf02b4682,c_49f53529c93f c_658dee77a3ba c_f8aa08bcca6c c_1291c48a9235 c_3125eac982e6 c_8f18c3233c08 c_92b8866b72b6 c_ae5590bff225 c_cdc140466afb c_fdf1c445d8f6,c_65c91f0892c7 c_cdc140466afb
t_003e944a4758,c_016da6d57276 c_0c32122af882 c_1a036dbb2248 c_5d1757ebb453 c_60d557014494 c_ba17864396e8 c_d4c5a684d51e c_d7ebd302ed06 c_e21c5afe8118 c_eaca9a32cfe0,c_8f6966ad85f6
t_003f1d619141,c_c4f742b82242 c_28f8f20ed75d c_41cafd6c1bc0 c_e8d46269e16d c_6ebb38f19cdf c_d2dc53c04dde c_f9bf015435f3 c_d3950f4d08ef c_57c80f687235 c_90687e401e3d,c_28f8f20ed75d c_41cafd6c1bc0 c_c4f742b82242
t_0041bde29702,c_8c9e82e67036 c_c4335f5be0a5 c_e9ddc40784a2 c_6797dd838347 c_ea9141d79155 c_4b7c3b4b3ee8 c_afcc56b055d8 c_070c4a1aaa61 c_89eaf73c0f89 c_ff7cad55574b,c_ea9141d79155
t_0043301d4771,c_b335cad86045 c_b2f001617daf c_50e9ccf13c24 c_4b255f9a5d03 c_dd542e897d75 c_da37324c3a49 c_e1505499517b c_571e262c6814 c_3f3998c6d3cc c_721c729a7c07,c_61f996ea544e c_677d2b86e021 c_7a34858ccb48 c_8dcdc02d292c c_b335cad86045 c_b989754fe5f4 c_d8f8c187f8dc c_da37324c3a49 c_e5bc2b385389 c_ff1a105cd099 c_ff1fd9de6321
t_00437f5d7ce1,c_8489a164b1ca c_0f02ee90eb16 c_06455d8a3610 c_a768f3722008 c_fcb2585bc640 c_8ecff4e06ce5 c_175ea56fe7af c_a38a43c55a91 c_8dbd1aa20449 c_eaffbc97b4e4,c_06455d8a3610 c_8ecff4e06ce5 c_fcb2585bc640
t_00459f9ca137,c_1058d3b4a09d c_16d6e2e3f181 c_18c45aa48f30 c_272da13499cb c_4eebc2c50754 c_74c311634bb5 c_89ec4502f5d4 c_99a5e103215f c_b2882e47a6f1 c_d012994b4e07,c_16a80b168623 c_1eaf8883ec93 c_2b336128d3b2 c_3ac037a0b22d c_41cb46bc27b4 c_4ab076ef37d3 c_505c12619f4b c_5314902e80fd c_5cff079ba802 c_5d2ac35dc7dd c_5d4deb5f3fe7 c_8327d8050e7c c_87f7100aed80 c_953b66e5f472 c_a7ead65e2917 c_b2947b99579e c_b736bd19d6d7 c_d021c2670187 c_d2cd47f74927 c_de2601504547
t_0046c8eb939b,c_010347c52726 c_1d38578f7eaa c_1fa7d7401622 c_2fe1b39b6ea2 c_5d3f5411c216 c_778ba49bea24 c_8f16c66ac62f c_a3336d91bcae c_b71ae1571d98 c_cb5d1931f5f4,c_24cb632a767a
t_0047bec0c181,c_3dd16d001488 c_39ad53c454f3 c_3b689e5bed67 c_d28e72730879 c_c0c282fc1fc3 c_c05b4c51018f c_557288f91016 c_0519386bd0bf c_ad2a7d95d220 c_ae64ff2d5ba2,c_2ce0b249861c c_4ba9ed503181 c_bf8330774278
t_0048851c9d8d,c_4ca470860b5d c_812bf160cdcb c_834af20659ae c_c45af2de0059 c_98426a81710d c_8caf5668ca6c c_1dc26060fea1 c_cf32b3a8606d c_07cbfe88cd81 c_4670cc8f2fa1,c_114055ab9c30 c_4bdd3dc5edc9
t_004cf359c0bd,c_866b47bbfa52 c_cb61abbe16a1 c_e3b397fdb9ed c_b97c466d6d64 c_c82c712bb4fe c_8f261622d645 c_0a92a340ed7f c_2859bb8127ef c_098e73afa2f5 c_a75eed2a9cfa,c_78e81e0251c2 c_7c79581f25be c_cb61abbe16a1 c_e3b397fdb9ed
t_004ec7f36178,c_ee5fdde42578 c_5aee85b81df4 c_4c34201b129a c_6c2f4302e9a9 c_d719d3fb3474 c_f335455c21b7 c_693314dbc365 c_1fb0ea355300 c_06afd248e3f4 c_21ee8c0fdd45,c_5aee85b81df4 c_ee5fdde42578
t_00531bf01fb6,c_c23aaf801f7c c_ff07a2844d60 c_6287bfd9a353 c_2d343132ee27 c_75112297d791 c_74db4c78770e c_05648f0b1552 c_984be57e6202 c_f9d82043dd5e c_bbae78b25050,c_6287bfd9a353 c_c23aaf801f7c
t_00535b89fd1d,c_841e18f64fae c_247ccecccc59 c_f12278381eff c_5bd0855b8f85 c_351c2acbd8fb c_8fe327ab3b37 c_2c396cca43d3 c_de61b235f83e c_885084027fef c_b56e31d4ffdf,c_189799d6b9a3 c_33e862f552f5 c_4f1702d3ffce c_841e18f64fae c_a6bbe3c41dc0
t_005386225b10,c_3aa495f99a7a c_6953a88de9f6 c_429610f9043f c_ed2c3b3cfebd c_40df7279033b c_319c19619015 c_98289d8ffaf1 c_6b3da26db8c8 c_eaaed961d295 c_d81ec2cf6517,c_1b5287816358 c_3263caae02d9 c_3aa495f99a7a c_6953a88de9f6 c_b11f6b0d18f3 c_c01877c1daf9
t_00585d771647,c_08c543bbad46 c_65770c4d184f c_6e6eb57ead3a c_7c026c41d565 c_9884d2692a86 c_af1a51aafc61 c_cf5c8ee071f0 c_d9ed471dfc62 c_dd6f147c0273 c_f7626470d9d8,c_79776f39cb98
t_0059e82958bd,c_ace0201c69e1 c_2b13c6b2c961 c_b351a0d53edd c_4357e5492a1a c_5e9d7085e2cb c_2bc6dfcb3fb3 c_d86639e8a014 c_7d48e76b7b92 c_53aeb14f85e4 c_a54f74853817,c_203edde84410 c_d90fddc0c30d c_da86c5215efa
t_005af63f14e8,c_e87930c9c878 c_fe5e0113eb4a c_3e24a475dd20 c_d0c840805046 c_8012071c0fea c_01e79639356f c_8009a4deb44b c_4220fbc510ac c_5aacf7a0938b c_de35d4a59999,c_1ad34ac9adb4
t_005b0b383f3f,c_b1368af8d6e6 c_52be9e00881e c_afaab82fb070 c_92a369e8496a c_7efede413a37 c_1e4ac0614c6e c_7890952682ac c_ded1a65e11dc c_d3c5b4752e82 c_201c2b0212d4,c_7efede413a37
t_005db937bae8,c_c44221dac92d c_01de9603d0aa c_31ce2a59ad8a c_47941d1f056a c_db16c3e983d8 c_671bc40c226a c_e4434e6ec128 c_3b984429b535 c_ff3965454d3a c_6bd54b87c349,c_47941d1f056a c_4d0b65552354 c_4fe09e47f92f c_64ba76cf3354 c_68abd2acfd87 c_77540e53ae48 c_ab5a305d58bd c_ae2f9696e873 c_b37fb9c58c90 c_daf20f3be29b c_db16c3e983d8 c_e650b34f271a
t_005dd3c69dc4,c_e8ac70d06bfa c_df1cdb0f0e1d c_d3875d55ef96 c_0e493c616e09 c_ab10a061796f c_3689cc7885f3 c_95e1c5b7efb8 c_68b754e443e6 c_50b20b74d154 c_508aada469d9,c_50816e414793 c_e8ac70d06bfa
t_005dd69acb26,c_084cec3d9a54 c_0cfae10b9a99 c_7633a72a0ed3 c_805d38ab7171 c_d438e56e3c6a c_5bcc5cf37ba2 c_bb7b009cdc81 c_cc625e1ffebb c_f0c57e14dd6c c_5a4841a99f82,c_7633a72a0ed3
t_005e4df86333,c_eb4a61342b90 c_367722228f62 c_c2f9e0deb0bb c_81def176a972 c_fa8be9ae434a c_cf065a630e34 c_0300b9eb0778 c_707d5615c236 c_7e47f7dfeb91 c_f9131f136f8c,c_eb4a61342b90
t_005f462ff2b3,c_75db2e7f77f4 c_aa3d4a9a594f c_1434c21c91e8 c_c28da21ba23d c_473c3f855bf0 c_d49d91620e3a c_100ecff47511 c_1e39a4aafce9 c_004fba65a68d c_69203ec5dc61,c_1579ae44d9fa c_265731081d5e c_62e43e9b46a8 c_f68fab85f19b
t_006038bb5e62,c_a535b3f37639 c_ea098c39af8b c_f6046defca21 c_61d16c944396 c_f43aea53a628 c_4d7935de318c c_62020dc11093 c_446b83824238 c_58d1410d6c35 c_6fd3ae000e97,c_20b394b64c96 c_5fc9bb8ec933 c_f8fb9147a295
t_0062b3cbe9a6,c_37bde1df47d2 c_51ac23568de3 c_b78818ef0d35 c_606a09e73e1b c_d13aeb2842a4 c_3d08a35d8d0f c_abd7b37ed1eb c_5ec6a4387ef8 c_b423c0cd782a c_651774805b8d,c_0b122f18ce80 c_1bcdb0913877 c_9e447ac29d39 c_b423c0cd782a c_b78818ef0d35 c_d026a5fc8d62
t_0062c913962f,c_a39248b4634b c_97e6c5bf0e53 c_5944a347998e c_b3bd9b6d8523 c_109dca77a74e c_792ffb456bbc c_09a663c20942 c_20ef2e9824a2 c_7e99f50f9e6a c_c4831fd396f1,c_2bead9da12c8 c_abd3050f5c61 c_adeb0411275e c_d22384c47aad
